w={'en': 4, 'hi': 3, 'te': 3, 'mai': 2} en=0.5715 hi=0.6082 te=0.7012 mai=0.7402 spread=0.16870 score=5928 under1.2=True
w={'en': 4, 'hi': 3, 'te': 3, 'mai': 3} en=0.5717 hi=0.6094 te=0.7057 mai=0.6813 spread=0.13399 score=7463 under1.2=True
w={'en': 4, 'hi': 3, 'te': 4, 'mai': 1} en=0.5717 hi=0.6235 te=0.6655 mai=0.7781 spread=0.20635 score=4846 under1.2=True
w={'en': 4, 'hi': 3, 'te': 4, 'mai': 2} en=0.5722 hi=0.6228 te=0.6666 mai=0.7452 spread=0.17298 score=5781 under1.2=True
w={'en': 4, 'hi': 3, 'te': 4, 'mai': 3} en=0.5726 hi=0.6240 te=0.6684 mai=0.6971 spread=0.12456 score=8028 under1.2=True
w={'en': 4, 'hi': 3, 'te': 5, 'mai': 1} en=0.5757 hi=0.6297 te=0.6382 mai=0.7951 spread=0.21937 score=4559 under1.2=True
w={'en': 4, 'hi': 3, 'te': 5, 'mai': 2} en=0.5767 hi=0.6279 te=0.6388 mai=0.7584 spread=0.18171 score=5503 under1.2=True
w={'en': 4, 'hi': 3, 'te': 5, 'mai': 3} en=0.5781 hi=0.6266 te=0.6395 mai=0.7052 spread=0.12710 score=7868 under1.2=True
w={'en': 4, 'hi': 3, 'te': 6, 'mai': 1} en=0.5815 hi=0.6336 te=0.6121 mai=0.7961 spread=0.21465 score=4659 under1.2=True
w={'en': 4, 'hi': 3, 'te': 6, 'mai': 2} en=0.5822 hi=0.6318 te=0.6134 mai=0.7607 spread=0.17851 score=5602 under1.2=True
w={'en': 4, 'hi': 3, 'te': 6, 'mai': 3} en=0.5826 hi=0.6306 te=0.6147 mai=0.7166 spread=0.13397 score=7464 under1.2=True
w={'en': 4, 'hi': 4, 'te': 3, 'mai': 1} en=0.5770 hi=0.5869 te=0.7283 mai=0.7639 spread=0.18697 score=5349 under1.2=True
w={'en': 4, 'hi': 4, 'te': 3, 'mai': 2} en=0.5773 hi=0.5869 te=0.7281 mai=0.7350 spread=0.15773 score=6340 under1.2=True
w={'en': 4, 'hi': 4, 'te': 3, 'mai': 3} en=0.5778 hi=0.5874 te=0.7287 mai=0.6959 spread=0.15091 score=6627 under1.2=True
w={'en': 4, 'hi': 4, 'te': 4, 'mai': 1} en=0.5820 hi=0.5938 te=0.6818 mai=0.7634 spread=0.18143 score=5512 under1.2=True
w={'en': 4, 'hi': 4, 'te': 4, 'mai': 2} en=0.5817 hi=0.5934 te=0.6825 mai=0.7400 spread=0.15833 score=6316 under1.2=True
w={'en': 4, 'hi': 4, 'te': 4, 'mai': 3} en=0.5823 hi=0.5936 te=0.6835 mai=0.7016 spread=0.11936 score=8378 under1.2=True
w={'en': 4, 'hi': 4, 'te': 5, 'mai': 1} en=0.5886 hi=0.5992 te=0.6368 mai=0.7652 spread=0.17655 score=5664 under1.2=True
w={'en': 4, 'hi': 4, 'te': 5, 'mai': 2} en=0.5891 hi=0.5988 te=0.6368 mai=0.7410 spread=0.15197 score=6580 under1.2=True
w={'en': 4, 'hi': 4, 'te': 5, 'mai': 3} en=0.5897 hi=0.5992 te=0.6367 mai=0.7078 spread=0.11816 score=8463 under1.2=True
w={'en': 4, 'hi': 4, 'te': 6, 'mai': 1} en=0.5903 hi=0.6009 te=0.6268 mai=0.7655 spread=0.17520 score=5708 under1.2=True
w={'en': 4, 'hi': 4, 'te': 6, 'mai': 2} en=0.5905 hi=0.6007 te=0.6272 mai=0.7417 spread=0.15122 score=6613 under1.2=True
w={'en': 4, 'hi': 4, 'te': 6, 'mai': 3} en=0.5908 hi=0.6001 te=0.6309 mai=0.7070 spread=0.11613 score=8611 under1.2=True
w={'en': 4, 'hi': 5, 'te': 3, 'mai': 1} en=0.5903 hi=0.5582 te=0.7404 mai=0.7493 spread=0.19113 score=5232 under1.2=True
w={'en': 4, 'hi': 5, 'te': 3, 'mai': 2} en=0.5912 hi=0.5575 te=0.7407 mai=0.7273 spread=0.18325 score=5457 under1.2=True
w={'en': 4, 'hi': 5, 'te': 3, 'mai': 3} en=0.5920 hi=0.5570 te=0.7412 mai=0.7013 spread=0.18426 score=5427 under1.2=True
w={'en': 4, 'hi': 5, 'te': 4, 'mai': 1} en=0.5928 hi=0.5665 te=0.6967 mai=0.7498 spread=0.18335 score=5454 under1.2=True
w={'en': 4, 'hi': 5, 'te': 4, 'mai': 2} en=0.5928 hi=0.5670 te=0.6970 mai=0.7278 spread=0.16075 score=6221 under1.2=True
w={'en': 4, 'hi': 5, 'te': 4, 'mai': 3} en=0.5929 hi=0.5678 te=0.6969 mai=0.7016 spread=0.13382 score=7473 under1.2=True
w={'en': 4, 'hi': 5, 'te': 5, 'mai': 1} en=0.5938 hi=0.5766 te=0.6634 mai=0.7531 spread=0.17653 score=5665 under1.2=True
w={'en': 4, 'hi': 5, 'te': 5, 'mai': 2} en=0.5943 hi=0.5763 te=0.6638 mai=0.7333 spread=0.15699 score=6370 under1.2=True
w={'en': 4, 'hi': 5, 'te': 5, 'mai': 3} en=0.5946 hi=0.5765 te=0.6642 mai=0.7080 spread=0.13151 score=7604 under1.2=True
w={'en': 4, 'hi': 5, 'te': 6, 'mai': 1} en=0.5967 hi=0.5819 te=0.6369 mai=0.7617 spread=0.17984 score=5560 under1.2=True
w={'en': 4, 'hi': 5, 'te': 6, 'mai': 2} en=0.5973 hi=0.5814 te=0.6371 mai=0.7431 spread=0.16172 score=6183 under1.2=True
w={'en': 4, 'hi': 5, 'te': 6, 'mai': 3} en=0.5987 hi=0.5800 te=0.6372 mai=0.7161 spread=0.13613 score=7346 under1.2=True
w={'en': 4, 'hi': 6, 'te': 3, 'mai': 1} en=0.5925 hi=0.5546 te=0.7386 mai=0.7386 spread=0.18405 score=5433 under1.2=True
w={'en': 4, 'hi': 6, 'te': 3, 'mai': 2} en=0.5934 hi=0.5537 te=0.7402 mai=0.7171 spread=0.18647 score=5363 under1.2=True
w={'en': 4, 'hi': 6, 'te': 3, 'mai': 3} en=0.5944 hi=0.5529 te=0.7416 mai=0.6806 spread=0.18868 score=5300 under1.2=True
w={'en': 4, 'hi': 6, 'te': 4, 'mai': 1} en=0.5969 hi=0.5576 te=0.7024 mai=0.7495 spread=0.19192 score=5211 under1.2=True
w={'en': 4, 'hi': 6, 'te': 4, 'mai': 2} en=0.5979 hi=0.5571 te=0.7047 mai=0.7285 spread=0.17139 score=5835 under1.2=True
w={'en': 4, 'hi': 6, 'te': 4, 'mai': 3} en=0.5983 hi=0.5568 te=0.7055 mai=0.7095 spread=0.15278 score=6546 under1.2=True
w={'en': 4, 'hi': 6, 'te': 5, 'mai': 1} en=0.6055 hi=0.5575 te=0.6657 mai=0.7500 spread=0.19250 score=5195 under1.2=True
w={'en': 4, 'hi': 6, 'te': 5, 'mai': 2} en=0.6063 hi=0.5568 te=0.6655 mai=0.7328 spread=0.17595 score=5683 under1.2=True
w={'en': 4, 'hi': 6, 'te': 5, 'mai': 3} en=0.6072 hi=0.5561 te=0.6655 mai=0.7102 spread=0.15414 score=6487 under1.2=True
w={'en': 4, 'hi': 6, 'te': 6, 'mai': 1} en=0.6083 hi=0.5625 te=0.6417 mai=0.7531 spread=0.19061 score=5246 under1.2=True
w={'en': 4, 'hi': 6, 'te': 6, 'mai': 2} en=0.6083 hi=0.5625 te=0.6429 mai=0.7348 spread=0.17239 score=5801 under1.2=True
w={'en': 4, 'hi': 6, 'te': 6, 'mai': 3} en=0.6084 hi=0.5624 te=0.6438 mai=0.7137 spread=0.15123 score=6613 under1.2=True

DONE 413s BEST {'en': 2, 'hi': 3, 'te': 4, 'mai': 3} score=16885
